"payment_month","game_name","language","has_older_device_model","age","mrr","paid_users","arppu","new_paid_users","new_mrr","back_from_churn_users","back_from_churn_mrr","churned_users","churned_revenue","previous_paid_users","previous_mrr","churn_rate","revenue_churn_rate","expansion_mrr","contraction_mrr","net_mrr_growth","lt_months","ltv"
2022-09-01,game 3,uk,false,42,0,0,,0,0,0,0,1,14.73,1,14.73,1.0000,1.0000,0,0,-14.73,1.00,
2022-09-01,game 3,uk,false,44,15.21,1,15.21,0,0,1,15.21,1,12.45,1,12.45,1.0000,1.0000,0,0,2.76,1.00,15.21
2022-09-01,game 3,uk,true,14,0,0,,0,0,0,0,1,35.79,1,35.79,1.0000,1.0000,0,0,-35.79,1.00,
2022-09-01,game 3,uk,true,17,0,0,,0,0,0,0,1,16.05,1,16.05,1.0000,1.0000,0,0,-16.05,1.00,
2022-09-01,game 3,uk,true,18,351.42,6,58.57,2,50.79,0,0,0,0,4,185.55,0.0000,0.0000,117.54,-2.46,165.87,,
2022-09-01,game 3,uk,true,19,0,0,,0,0,0,0,1,25.83,1,25.83,1.0000,1.0000,0,0,-25.83,1.00,
2022-09-01,game 3,uk,true,20,18.24,1,18.24,0,0,0,0,0,0,1,16.56,0.0000,0.0000,1.68,0,1.68,,
2022-09-01,game 3,uk,true,21,19.74,1,19.74,0,0,0,0,0,0,1,17.16,0.0000,0.0000,2.58,0,2.58,,
2022-09-01,game 3,uk,true,25,18.12,1,18.12,1,18.12,0,0,0,0,,,,,0,0,18.12,,
2022-10-01,game 1,uk,true,21,25.71,1,25.71,1,25.71,0,0,0,0,,,,,0,0,25.71,,
2022-10-01,game 2,en,false,35,12.69,1,12.69,0,0,0,0,0,0,1,33.57,0.0000,0.0000,0,-20.88,-20.88,,
2022-10-01,game 2,ru,true,21,12.24,1,12.24,1,12.24,0,0,0,0,,,,,0,0,12.24,,
2022-10-01,game 2,uk,false,18,36.57,1,36.57,0,0,1,36.57,0,0,0,0,,,0,0,36.57,,
2022-10-01,game 2,uk,false,21,47.46,1,47.46,1,47.46,0,0,0,0,,,,,0,0,47.46,,
2022-10-01,game 3,en,false,16,130.92,1,130.92,0,0,0,0,0,0,1,252.66,0.0000,0.0000,0,-121.74,-121.74,,
2022-10-01,game 3,en,false,20,0,0,,0,0,0,0,1,35.67,1,35.67,1.0000,1.0000,0,0,-35.67,1.00,
2022-10-01,game 3,en,false,25,49.08,1,49.08,0,0,0,0,0,0,1,70.14,0.0000,0.0000,0,-21.06,-21.06,,
2022-10-01,game 3,en,false,28,25.77,1,25.77,0,0,0,0,0,0,1,18.33,0.0000,0.0000,7.44,0,7.44,,
2022-10-01,game 3,ru,false,14,14.91,1,14.91,0,0,0,0,0,0,1,49.50,0.0000,0.0000,0,-34.59,-34.59,,
2022-10-01,game 3,ru,false,15,183.66,2,91.83,0,0,0,0,1,35.28,3,74.37,0.3333,0.4744,144.57,0,109.29,3.00,275.52
2022-10-01,game 3,ru,false,16,219.96,3,73.32,3,219.96,0,0,1,18.72,1,18.72,1.0000,1.0000,0,0,201.24,1.00,73.32
2022-10-01,game 3,ru,false,17,238.44,5,47.69,1,37.08,0,0,0,0,4,130.41,0.0000,0.0000,102.18,-31.23,108.03,,
2022-10-01,game 3,ru,false,18,364.68,5,72.94,0,0,1,42.90,1,21.51,5,156.30,0.2000,0.1376,211.44,-24.45,208.38,5.00,364.70
2022-10-01,game 3,ru,false,19,182.67,5,36.53,1,14.4,2,91.32,1,50.91,3,109.08,0.3333,0.4667,33.48,-14.70,73.59,3.00,109.60
2022-10-01,game 3,ru,false,20,175.38,3,58.46,0,0,2,56.76,1,23.34,2,66.87,0.5000,0.3490,75.09,0,108.51,2.00,116.92
2022-10-01,game 3,ru,false,21,64.11,2,32.06,1,25.89,0,0,0,0,1,53.52,0.0000,0.0000,0,-15.30,10.59,,
2022-10-01,game 3,ru,false,22,219.90,4,54.98,1,74.28,1,94.71,1,13.8,3,95.58,0.3333,0.1444,14.73,-45.60,124.32,3.00,164.96
2022-10-01,game 3,ru,false,23,115.08,2,57.54,0,0,0,0,2,103.56,4,183.03,0.5000,0.5658,35.61,0,-67.95,2.00,115.08
2022-10-01,game 3,ru,false,24,31.20,2,15.60,0,0,0,0,2,87.87,4,167.43,0.5000,0.5248,1.74,-50.10,-136.23,2.00,31.20
2022-10-01,game 3,ru,false,25,201.03,5,40.21,1,27.0,0,0,0,0,4,149.28,0.0000,0.0000,48.09,-23.34,51.75,,
2022-10-01,game 3,ru,false,26,28.95,1,28.95,1,28.95,0,0,0,0,0,0,,,0,0,28.95,,
2022-10-01,game 3,ru,false,27,0,0,,0,0,0,0,2,47.37,2,47.37,1.0000,1.0000,0,0,-47.37,1.00,
2022-10-01,game 3,ru,false,28,23.31,1,23.31,1,23.31,0,0,0,0,,,,,0,0,23.31,,
2022-10-01,game 3,ru,false,29,59.79,2,29.90,1,43.68,1,16.11,0,0,0,0,,,0,0,59.79,,
2022-10-01,game 3,ru,false,30,17.16,1,17.16,0,0,1,17.16,0,0,0,0,,,0,0,17.16,,
2022-10-01,game 3,ru,false,31,16.05,1,16.05,0,0,0,0,0,0,1,44.70,0.0000,0.0000,0,-28.65,-28.65,,
2022-10-01,game 3,ru,false,32,77.64,1,77.64,0,0,0,0,0,0,1,90.87,0.0000,0.0000,0,-13.23,-13.23,,
2022-10-01,game 3,ru,false,33,18.78,1,18.78,1,18.78,0,0,1,43.29,1,43.29,1.0000,1.0000,0,0,-24.51,1.00,18.78
